s=energy([0.000 0.000])=26.000
819: energy([2.170 2.000])=1.378
820: energy([2.180 2.000])=1.345
821: energy([2.190 2.000])=1.312
822: energy([2.200 2.000])=1.280
824: energy([2.210 2.000])=1.248
825: energy([2.220 2.000])=1.217
826: energy([2.230 2.000])=1.186
830: energy([2.240 2.000])=1.155
832: energy([2.250 2.000])=1.125
836: energy([2.260 2.000])=1.095
839: energy([2.270 2.000])=1.066
843: energy([2.280 2.000])=1.037
848: energy([2.290 2.000])=1.008
849: energy([2.300 2.000])=0.980
851: energy([2.310 2.000])=0.952
852: energy([2.320 2.000])=0.925
859: energy([2.330 2.000])=0.898
861: energy([2.340 2.000])=0.871
872: energy([2.350 2.000])=0.845
877: energy([2.360 2.000])=0.819
882: energy([2.370 2.000])=0.794
884: energy([2.380 2.000])=0.769
885: energy([2.390 2.000])=0.744
887: energy([2.400 2.000])=0.720
897: energy([2.410 2.000])=0.696
898: energy([2.420 2.000])=0.673
900: energy([2.430 2.000])=0.650
901: energy([2.440 2.000])=0.627
905: energy([2.450 2.000])=0.605
906: energy([2.460 2.000])=0.583
911: energy([2.470 2.000])=0.562
913: energy([2.480 2.000])=0.541
914: energy([2.490 2.000])=0.520
922: energy([2.500 2.000])=0.500
930: energy([2.510 2.000])=0.480
932: energy([2.520 2.000])=0.461
933: energy([2.530 2.000])=0.442
939: energy([2.540 2.000])=0.423
942: energy([2.550 2.000])=0.405
943: energy([2.560 2.000])=0.387
945: energy([2.570 2.000])=0.370
949: energy([2.580 2.000])=0.353
953: energy([2.590 2.000])=0.336
954: energy([2.600 2.000])=0.320
959: energy([2.610 2.000])=0.304
963: energy([2.620 2.000])=0.289
964: energy([2.630 2.000])=0.274
967: energy([2.640 2.000])=0.259
968: energy([2.650 2.000])=0.245
972: energy([2.660 2.000])=0.231
973: energy([2.670 2.000])=0.218
974: energy([2.680 2.000])=0.205
978: energy([2.690 2.000])=0.192
979: energy([2.700 2.000])=0.180
981: energy([2.710 2.000])=0.168
982: energy([2.720 2.000])=0.157
983: energy([2.730 2.000])=0.146
987: energy([2.740 2.000])=0.135
990: energy([2.750 2.000])=0.125
994: energy([2.760 2.000])=0.115
996: energy([2.770 2.000])=0.106
998: energy([2.780 2.000])=0.097
1005: energy([2.790 2.000])=0.088
1009: energy([2.800 2.000])=0.080
1024: energy([2.810 2.000])=0.072
1026: energy([2.820 2.000])=0.065
1027: energy([2.830 2.000])=0.058
1030: energy([2.840 2.000])=0.051
1032: energy([2.850 2.000])=0.045
1041: energy([2.860 2.000])=0.039
1042: energy([2.870 2.000])=0.034
1062: energy([2.880 2.000])=0.029
1064: energy([2.890 2.000])=0.024
1066: energy([2.900 2.000])=0.020
1070: energy([2.910 2.000])=0.016
1072: energy([2.920 2.000])=0.013
1075: energy([2.930 2.000])=0.010
1077: energy([2.940 2.000])=0.007
1078: energy([2.950 2.000])=0.005
1081: energy([2.960 2.000])=0.003
1083: energy([2.970 2.000])=0.002
1089: energy([2.980 2.000])=0.001
1092: energy([2.990 2.000])=0.000
1094: energy([3.000 2.000])=0.000
solution: energy([3.000 2.000])=0.000
