开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
ĉeno	链条，链子
cent	百，一百
cent mil	十万
cent miliardo	千亿，一千亿
cent miliono	亿，一亿
centa	第一百
Centaŭro	人头马，半人马
centoble	百倍，一百倍
centono	百分之一
centra	中
centra nerva sistemo	中枢神经系统
centro	中间，中心
cerba trunko	脑干
cerbeto	小脑
cerbo	脑子，脑部
cerebelo	小脑
cerebro	大脑
ceremonio	仪式
cerio	铈
ĉerizarbo	樱，樱桃树
ĉerizfloro	樱花
certa	确定
certe	一定，定
certigi	确定
cerumeno	耳垢
cervo	鹿
ĉesi	结束，停止
cetere	而且
ĉevalejo	马厩，厩，马棚，马房
ĉevalido	小马驹，小马，驹，马驹
ĉevalino	雌玛，母马
ĉevalo	马，马，马
ĉevalpovo	马力
cezio	铯
ĉi-tie	这边，这里，这儿，这边儿
ĉi-tio	这个
ĉi-tio estas	这是
ĉi-tiu	这个，这种
ĉi-tiuj	这些
ĉia speco	哪种…都，每种
ĉiam	常，总是
ĉiamverda	常青，常绿
ĉiamverda arbaro	常青森林，常绿森林
ĉiamverda arbo	常绿树，常青树
Ĉiang Kai-ŝek	蒋介石
cico	乳头
ĉie	到处
ĉielarko	彩虹
ĉielkorpo	天体
ĉielo	天，天空，天堂
cigaredo	烟，香烟
cigaro	雪茄
cigno	天鹅
cikatra histo	疤痕组织
cikatro	疤痕
Ciklopo	独眼巨人
cikonio	白鹤
cikorio	菊苣
Ĉin-dinastio	秦朝
ĉina	华语，华，中，汉
ĉina hibiskfloro	朱槿，扶桑花
ĉina hibisko	朱槿，扶桑花
ĉina ŝako	象棋
ĉina signo	汉字，字
ĉina urbo Ŝanhajo	上海
cinamarbo	肉桂树
cinamo	肉桂树
cindro	灰
Ĉing-dinastio	清朝
Ĉinghajo	青海，青
ĉinia diantfloro	石竹，石竹花
ĉinia dianto	石竹，石竹花
Ĉinio	华，中，中国
ĉino	中国人
ĉio	一切
ĉioscia	无所不知
cipresarbo	柏树，柏
cipreso	柏，柏树
ĉirkaŭ	约，围着，左右，围绕着
ĉirkaŭi	围绕着，围着
ĉirkaŭiri	循环
cirko	马戏团
cirkonstanco	情况
cirkonstancoj	状况
citaĵo	引用文
citi	引用
citronarbo	柠檬树
ĉiu	都，每，每个人，每个
ĉiufoje	每次
ĉiuj	每个人都，大家
ĉiumomente	随时
civilizo	文明
Ĉongĉingo	重庆，渝
ĉu -os	会不会
ĉu bona?	好不好
ĉu eblas	能不能
ĉu estos	会不会
ĉu mi povas	能不能
ĉu mi rajtas	可不可以，我可不可以
ĉu povas	能不能
ĉu rajtas	可不可以
ĉu scipovas	会不会
ĉu vi povas	可不可以
ĉu vi scipovas	你会不会
ĉu vi scipovas ŝakludi?	你会不会下棋
ĉu...?	吗？ 
daktilarbo	枣椰树
daktilpalmo	枣椰树
damo	后
danci	跳舞
danĝera	危险
danĝero	危险
danki	谢谢，谢
dankon	谢谢，谢了，谢
dateno	资讯
dativa kazo	与格
dativo	与格
